color,discountReason,extras,gpu_brand,gpu_mem,hdd,name,old_price,os,price,processor,ram,screenMate,screenResol,screenSize,ssd,url,weight
сірий,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб камера'",Intel UHD Graphics 620,,,Ноутбук Asus VivoBook S14 S406UA (S406UA-BM151T) Starry Grey (J2N0CV07S014084) - Уцінка,22499,Windows 10,19260,Intel Core i5-8250U (1.6 - 3.4 ГГц),RAM 8 ГБ,матовий,1920x1080,"14.0""",,https://rozetka.com.ua/ua/47147064/p47147064/,1.2 кг
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509C2S) - Уцінка,13299, DOS ,11226, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46796800/p46796800/, 2.15 кг 
 золотистий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 2 ГБ ,,Ноутбук ASUS ZenBook UX430UN-GV049T (90NB0GH6-M00620) Gold (HBN0CV015827444) - Уцінка,29740, Windows 10 ,24749, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 8 ГБ ,матовий,1920x1080,"14.0""", SSD 256 ГБ ,https://rozetka.com.ua/ua/33440055/p33440055/, 1.3 кг 
чорний,,"'без ОД', 'Wi-Fi', 'Bluetooth', 'веб-камера'",NVIDIA GeForce GTX 1050Ti, 4 ГБ,,Ноутбук Acer Predator Helios 300 PH317-51 (NH.Q2MEU.017) Shale Black (NHQ2MEU017802081913400) - Уцінка,31599,Linux,25025,Intel Core i5-7300HQ (2.5 - 3.5 ГГц),RAM 8 ГБ,матовий,P,"17.3""",,https://rozetka.com.ua/ua/42873584/p42873584/,3 кг
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 4 ГБ ,,Ноутбук HP Pavilion Power 15-cb038ur (3FY78EA) Black (5CD8033F04) - Уцінка,27777, DOS ,23883, Intel Core i5-7300HQ (2.5 - 3.5 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47218056/p47218056/, 2.12 кг 
 темно-коричневий,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce 940MX, 2 ГБ ,,Ноутбук Asus Vivobook X556UQ (X556UQ-DM1226T) Dark Brown (H5N0CV125669219) - Уцінка,18999, Windows 10 ,16469, Intel Core i5-7200U (2.5 - 3.1 ГГц) , RAM 6 ГБ ,матовий,1920x1080,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/47546448/p47546448/, 2.3 кг 
 чорний,,"' DVD ± RW ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 405 ,, HDD 500 ГБ ,Ноутбук Dell Inspiron 3552 (I35P45DIW-6B) Black (8K5FTJ2) - Уцінка,10199, Windows 10 Home ,8122, Intel Pentium N3710 (1.6 - 2.56 ГГц) , RAM 4 ГБ ,глянсовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/47529088/p47529088/, 2.2 кг 
 чорний,,"' DVD±RW ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", AMD Radeon 530, 2 ГБ , HDD 1 ТБ ,Ноутбук Dell Inspiron 5570 (I515F54H10DDL-8BK) Black (3WMV042) - Уцінка,15199, Linux ,12780, Intel Core i5-8250U (1.6 - 3.4 ГГц) , RAM 4 ГБ ,глянсовий,1920x1080,"15.6""",,https://rozetka.com.ua/ua/47504472/p47504472/, 2.36 кг 
 сірий ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce MX150, 4 ГБ , HDD 1 ТБ ,Ноутбук Asus VivoBook S14 S410UN (S410UN-EB055T) Grey (HBN0GR04N230477) - Уцінка,21807, Windows 10 ,19259, Intel Core i3-7100U (2.4 ГГц) , RAM 8 ГБ ,матовий,P,"14""", SSD 128 ГБ ,https://rozetka.com.ua/ua/47341144/p47341144/, 1.3 кг 
 чорний,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", NVIDIA GeForce GTX 1050Ti, 4 ГБ , HDD 1 ТБ ,Ноутбук Acer Predator Helios 300 PH317-51 (NH.Q2MEU.012) Shale Black (NHQ2MEU01273817CF33400) - Уцінка,37999, Windows 10 Home ,34009, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 8 ГБ ,матовий,P,"17.3""",,https://rozetka.com.ua/ua/31279919/p31279919/, 3 кг 
 сірий,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics 520 ,,,Ноутбук Dell Vostro 14 5468 (N013RVN5468EMEA01_U) Grey (12SBZL2) - Уцінка,14727, Linux ,10949, Intel Core i3-6006U (2.0 ГГц) , RAM 4 ГБ ,матовий,1366x768,"14""", SSD 128 ГБ ,https://rozetka.com.ua/ua/35886065/p35886065/, 1.59 кг 
 чорний ,,"' без ОД ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050 Ti, 4 ГБ ,,Ноутбук Asus ZenBook Pro UX550VE (UX550VE-BN044T) Black (H7N0CX02A326279) - Уцінка,49804, Windows 10 ,39661, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 512 ГБ ,https://rozetka.com.ua/ua/28831417/p28831417/, 1.8 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi- Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1050, 2 ГБ , HDD 2 ТБ ,Ноутбук HP Pavilion Power 15-cb032ur (2LE39EA) Black (5CD7287XQW) - Уцінка,29899, DOS ,25491, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""",,https://rozetka.com.ua/ua/46584760/p46584760/, 2.21 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND5509891) - Уцінка,13299, DOS ,10985, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/46241768/p46241768/, 2.15 кг 
 чорний,,"' DVD Super Multi ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", Intel HD Graphics ,, HDD 500 ГБ ,Ноутбук HP 250 G4 (M9S89EA) (CND55097S6) - Уцінка,13299, DOS ,11381, Intel Core i5-5200U (2.2 - 2.7 ГГц) , RAM 4 ГБ ,матовий,1366x768,"15.6""",,https://rozetka.com.ua/ua/45278120/p45278120/, 2.15 кг 
 чорний,,"' без ОД ', ' LAN ', ' Wi-Fi ', ' Bluetooth ', ' веб-камера '", nVidia GeForce GTX 1060, 6 ГБ ,,Ноутбук HP Omen 15-ce057ur (3FY86EA) Black (5CD8035S12) - Уцінка,41444, DOS ,38385, Intel Core i7-7700HQ (2.8 - 3.8 ГГц) , RAM 16 ГБ ,матовий,P,"15.6""", SSD 256 ГБ ,https://rozetka.com.ua/ua/49089470/p49089470/, 2.56 кг 
